DATE,A939RX0Q048SBEA_PCH,FNDEFX_PCH,FDEFX_PCH,GCE_PCH,SLCE_PCH
1960-01-01,1.64801,-14.93012,-1.52897,-1.39704,2.67578
1960-04-01,-1.13184,5.35731,-0.83633,1.22188,2.92365
1960-07-01,-0.01031,5.66528,4.10100,3.41189,1.99518
1960-10-01,-1.67612,8.18987,0.21142,1.56103,1.61838
1961-01-01,0.34094,-9.91892,2.09199,1.51854,3.86835
1961-04-01,1.30685,7.81460,-0.05679,0.82080,0.28271
1961-07-01,1.49639,2.79317,2.53169,2.12724,1.45850
1961-10-01,1.52517,2.19355,2.31062,2.73544,3.40762
1962-01-01,1.42213,5.22133,4.06548,2.68957,0.34521
1962-04-01,0.55298,7.36924,-0.35857,0.96202,0.97255
1962-07-01,0.83472,8.95405,2.21864,2.61945,1.35177
1962-10-01,-0.07304,4.49526,-0.23706,1.06299,1.69535
1963-01-01,0.76020,-2.87562,-1.26640,0.11284,2.77133
1963-04-01,0.79799,0.28537,-0.70906,0.28388,1.47956
1963-07-01,1.80885,12.81717,2.83035,4.02062,2.88343
1963-10-01,0.26863,-1.35050,0.04799,0.70834,2.13985
1964-01-01,1.79075,4.94860,-0.70119,1.03650,1.84720
1964-04-01,0.77111,5.31926,-1.43216,1.15369,2.75337
1964-07-01,1.19593,-0.26988,1.12144,1.11396,1.55323
1964-10-01,-0.04528,1.31922,-1.64070,0.07627,1.53100
1965-01-01,2.13817,2.36085,-1.40721,0.55907,2.03675
1965-04-01,0.98905,2.28776,0.19403,1.77233,3.19848
1965-07-01,1.87967,6.22238,4.39241,4.35085,3.72066
1965-10-01,1.97431,1.71105,5.37122,3.51281,2.26465
1966-01-01,2.18126,0.01686,3.33560,2.55650,2.58110
1966-04-01,0.07860,4.86047,2.13604,2.61365,2.39879
1966-07-01,0.53739,-2.22714,8.18601,4.29761,2.42630
1966-10-01,0.51396,-3.38391,2.38749,2.19301,3.68778
1967-01-01,0.63814,9.38378,5.21921,4.63121,2.65321
1967-04-01,-0.18698,-4.99553,1.37371,0.60369,1.46360
1967-07-01,0.66379,-0.47914,3.37972,2.24129,1.77546
1967-10-01,0.47332,4.78561,1.12354,2.35820,3.04972
1968-01-01,1.81994,1.89279,2.77968,3.02682,3.61440
1968-04-01,1.43942,-1.18704,1.04816,1.76929,3.36726
1968-07-01,0.50288,5.57354,-0.04531,1.66922,2.43463
1968-10-01,0.12412,2.58977,0.50360,1.74913,2.79869
1969-01-01,1.35203,2.07786,-0.70406,1.01925,2.45871
1969-04-01,0.07262,2.03203,-0.39699,1.34956,2.86274
1969-07-01,0.38196,3.53364,2.56593,2.39636,1.93040
1969-10-01,-0.78003,-2.18074,-0.72307,0.12493,1.56217
1970-01-01,-0.39500,4.88887,0.13340,2.07999,3.14124
1970-04-01,-0.16941,4.66426,-3.14381,0.50587,2.67034
1970-07-01,0.57850,0.90185,0.31123,2.18389,4.12411
1970-10-01,-1.41493,1.87388,0.57249,1.61990,2.40869
1971-01-01,2.40373,2.46566,-1.00312,1.23576,2.70836
1971-04-01,0.25068,7.50834,-1.64760,1.60860,2.57394
1971-07-01,0.51148,4.83083,-0.41599,1.37721,1.75404
1971-10-01,-0.07162,-1.80766,-0.20630,0.84661,2.36622
1972-01-01,1.59185,6.86748,4.24762,3.73474,2.51611
1972-04-01,2.02733,2.17201,1.92283,1.50091,1.00702
1972-07-01,0.68418,0.27123,-5.40412,-0.74983,2.33637
1972-10-01,1.40606,1.64490,2.79247,2.61434,2.76877
1973-01-01,2.25272,2.89372,2.96647,2.68107,2.43011
1973-04-01,0.86450,0.56853,-0.07831,1.04750,1.94169
1973-07-01,-0.77415,1.35304,-2.76716,0.48892,2.40537
1973-10-01,0.70356,1.43556,2.74641,2.76276,3.13475
1974-01-01,-1.06181,4.77307,2.84635,3.83662,4.20458
1974-04-01,0.02447,-0.95070,2.47942,3.19515,4.75919
1974-07-01,-1.19876,8.75787,1.37282,3.50881,3.45735
1974-10-01,-0.64379,6.09588,3.54783,3.61051,2.98004
1975-01-01,-1.41698,0.80924,0.72920,3.03707,5.02768
1975-04-01,0.47309,2.94590,-0.71262,0.88345,1.24663
1975-07-01,1.41260,1.77535,5.03116,3.20989,2.57774
1975-10-01,1.08457,3.66516,2.16341,2.64067,2.63959
1976-01-01,2.03015,0.86112,0.26755,1.44601,2.27748
1976-04-01,0.51892,0.67143,0.41246,-0.07625,-0.55032
1976-07-01,0.29060,1.07490,1.40731,0.63145,0.07369
1976-10-01,0.45679,3.71127,2.50391,1.80934,0.89278
1977-01-01,0.95015,1.15945,2.56278,2.52764,2.89082
1977-04-01,1.69754,3.44806,1.93030,2.41214,2.40514
1977-07-01,1.51715,2.69736,0.91034,1.54209,1.58499
1977-10-01,-0.28327,4.76770,0.90656,1.99423,1.83597
1978-01-01,0.08816,0.48763,1.57863,1.30722,1.39073
1978-04-01,3.60161,3.95633,3.91840,4.35251,4.71300
1978-07-01,0.70851,2.64426,2.18082,2.52833,2.69151
1978-10-01,1.05059,3.39205,2.17840,2.48064,2.39095
1979-01-01,-0.07426,0.83442,2.13860,1.12385,0.63817
1979-04-01,-0.15483,1.30607,3.17293,2.92736,3.25503
1979-07-01,0.44039,2.58859,2.56658,3.21350,3.75830
1979-10-01,-0.06176,1.26904,2.84042,2.75161,3.11701
1980-01-01,0.03399,4.69683,4.70330,3.83479,3.11092
1980-04-01,-2.33499,10.09000,3.87265,3.47515,1.40259
1980-07-01,-0.41744,-2.39231,1.00736,0.61541,1.29794
1980-10-01,1.59103,0.90691,4.83857,2.82419,2.21334
1981-01-01,1.75055,4.22215,3.87727,4.01663,4.04019
1981-04-01,-0.96467,4.75479,5.03452,2.41936,0.18772
1981-07-01,0.92133,-0.38456,2.82018,1.40302,1.05801
1981-10-01,-1.34633,1.11469,4.98048,3.03341,2.36773
1982-01-01,-1.76351,-0.14061,2.49372,1.53115,1.39587
1982-04-01,0.23470,-1.55081,4.14809,2.17830,1.96067
1982-07-01,-0.63602,1.62391,2.87074,2.02690,1.57202
1982-10-01,-0.20699,4.04523,3.37492,2.78904,2.03862
1983-01-01,1.11370,2.35494,1.52833,1.42415,1.08708
1983-04-01,2.06400,2.55681,2.68986,1.76626,0.89784
1983-07-01,1.75015,7.30112,2.22100,2.77967,1.84641
1983-10-01,1.84465,-16.11305,3.29025,-0.90985,0.81775
1984-01-01,1.76051,3.93785,1.51073,2.44124,2.73111
1984-04-01,1.52186,9.39464,2.10940,3.16251,2.29472
1984-07-01,0.71920,1.11829,1.50003,2.02507,2.65339
1984-10-01,0.57641,1.68007,5.56420,3.23661,2.01691
1985-01-01,0.78125,2.78333,-0.32515,1.48626,2.45770
1985-04-01,0.66769,2.27111,3.11648,2.84779,2.81457
1985-07-01,1.26749,1.49420,4.31208,2.98003,2.43391
1985-10-01,0.49122,-1.40366,1.50776,1.20999,1.69972
1986-01-01,0.73460,0.92969,-1.05764,0.87568,2.26499
1986-04-01,0.23851,1.74133,3.43862,2.18799,1.42512
1986-07-01,0.70837,2.98061,3.84001,2.69535,1.80144
1986-10-01,0.29602,2.83700,-2.46012,0.28060,1.61211
1987-01-01,0.54426,-2.87322,1.74337,1.23406,1.96752
1987-04-01,0.86718,-0.34749,2.63166,1.63957,1.44809
1987-07-01,0.61676,-2.96853,1.82832,1.07060,1.53772
1987-10-01,1.46743,6.39654,0.39759,1.91364,1.92583
1988-01-01,0.31644,-5.25983,-0.22279,0.08229,1.61950
1988-04-01,1.10274,-0.18061,0.36677,1.27998,2.24455
1988-07-01,0.32489,0.99674,-0.21247,0.72579,1.29729
1988-10-01,1.07947,4.77559,3.19484,2.94252,2.36251
1989-01-01,0.81367,2.42356,-2.31204,0.59851,2.12673
1989-04-01,0.53723,3.68287,2.45967,2.61966,2.47661
1989-07-01,0.46411,0.92477,1.47134,1.63823,1.91192
1989-10-01,-0.07741,1.76738,-0.78869,1.36702,2.64855
1990-01-01,0.86468,3.45838,1.97484,2.70648,2.98463
1990-04-01,0.05203,4.24995,0.94628,1.50695,1.21697
1990-07-01,-0.28726,1.11476,-0.85385,0.96391,2.03409
1990-10-01,-1.25913,-0.35186,1.98469,2.08300,2.71375
1991-01-01,-0.77467,2.51690,1.87780,1.23929,0.57297
1991-04-01,0.45880,2.74204,0.18927,0.96481,1.01264
1991-07-01,0.14887,1.36003,-0.62191,0.74720,1.40971
1991-10-01,0.00756,2.20243,-3.04420,0.19207,1.58721
1992-01-01,0.89938,2.23947,-0.24043,1.34836,2.01280
1992-04-01,0.74655,0.77080,-0.19877,0.63223,1.04746
1992-07-01,0.61710,1.45561,2.66092,1.43766,0.78153
1992-10-01,0.69460,3.93630,-0.72317,0.64830,0.60582
1993-01-01,-0.12720,-1.00157,-3.95557,-0.80402,0.93276
1993-04-01,0.27676,0.24852,-1.02218,0.53617,1.39995
1993-07-01,0.13434,0.83433,0.11306,0.61402,0.81040
1993-10-01,1.03910,0.59427,1.29466,1.02259,0.99078
1994-01-01,0.70009,0.19236,-4.61910,-0.58231,1.23279
1994-04-01,1.05722,-0.62477,0.93487,1.16809,1.70097
1994-07-01,0.26095,1.47857,3.77513,2.44999,2.06056
1994-10-01,0.83759,2.97803,-4.17143,-0.03576,1.22020
1995-01-01,0.08447,0.50362,0.60159,1.03119,1.34608
1995-04-01,0.01407,0.08142,0.46856,1.06400,1.55522
1995-07-01,0.52743,0.98933,-0.95369,0.19045,0.50924
1995-10-01,0.37076,-1.08755,-2.60019,-0.28056,0.90583
1996-01-01,0.49949,1.19050,2.75375,1.35852,0.81492
1996-04-01,1.38006,0.02981,0.59543,1.11242,1.57662
1996-07-01,0.56777,0.14304,-1.22740,0.60975,1.48611
1996-10-01,0.71647,0.85902,-0.68487,1.26736,2.15576
1997-01-01,0.38045,2.24090,-2.88150,0.01867,0.69153
1997-04-01,1.37475,1.66608,3.58663,1.75173,1.06635
1997-07-01,0.91366,1.10466,-0.92309,0.82221,1.44615
1997-10-01,0.53928,-0.71030,1.26096,1.25757,1.69020
1998-01-01,0.74572,1.57356,-5.41044,-0.42882,1.04580
1998-04-01,0.64929,1.02815,3.55690,2.27432,2.08472
1998-07-01,0.94400,-2.64203,1.98150,1.46980,2.16471
1998-10-01,1.30371,4.61141,-1.11620,1.24073,1.40723
1999-01-01,0.68342,0.51539,-0.05478,1.31640,1.97000
1999-04-01,0.55973,0.64329,0.71757,1.53480,2.00308
1999-07-01,1.00523,1.44596,3.11232,2.31461,2.21951
1999-10-01,1.33451,3.26152,3.30164,2.75412,2.46199
2000-01-01,0.10958,0.56337,-4.08186,0.45770,2.01596
2000-04-01,1.56887,2.22011,4.32449,1.82296,0.92428
2000-07-01,-0.16963,0.39158,-2.14594,0.52422,1.45444
